age,total,male,female
12,7,4,3
13,15,8,7
14,13,7,6
15,1050,559,491
16,903,461,442
17,1322,679,643
18,2004,966,1038
19,3602,1687,1915
20,10764,4989,5775
21,42064,18737,23327
22,144430,64793,79637
23,280333,130224,150109
24,303814,145072,158742
25,257429,127179,130250
26,244624,123110,121514
27,241605,121834,119771
28,269193,135400,133793
29,219739,113490,106249
30,189376,99644,89732
31,181608,99445,82163
32,156095,87332,68763
33,126614,72749,53865
34,120735,72081,48654
35,108979,66455,42524
36,105801,65880,39921
37,109010,68429,40581
38,100068,64104,35964
39,92796,60156,32640
40,87140,57753,29387
41,74243,49929,24314
42,74778,50888,23890
43,51778,36640,15138
44,62065,45365,16700
45,67056,50342,16714
46,68202,51941,16261
47,74967,58028,16939
48,43635,34106,9529
49,20784,16127,4657
50,20680,16244,4436
51,16004,12677,3327
52,18846,14755,4091
53,20781,16336,4445
54,17218,13431,3787
55,15333,11771,3562
56,12593,9595,2998
57,8905,6730,2175
58,7110,5461,1649
59,5796,4366,1430
60,5123,3910,1213
61,4487,3529,958
62,3283,2586,697
63,3252,2551,701
64,3742,3006,736
65,3532,2871,661
66,3031,2446,585
67,2442,1943,499
68,2165,1699,466
69,2035,1559,476
70,1962,1512,450
71,1758,1345,413
72,1994,1484,510
73,1928,1441,487
74,1828,1329,499
75,1696,1189,507
76,1557,1066,491
77,1732,1248,484
78,1540,1112,428
79,1392,975,417
80,1237,894,343
81,892,676,216
82,779,556,223
83,609,457,152
84,471,361,110
